symbol,week,model,n_points,MAE,RMSE,MAPE
BTCUSDT,1,naive,166,133.67647058823658,163.74881948384711,0.15135242478206948
BTCUSDT,1,arima,166,140.39490882273822,170.02776260012877,0.15895977555842147
BTCUSDT,1,ast,166,376.3154530054744,411.70443184145125,0.4259860286813929
BTCUSDT,2,naive,168,254.5911764705867,340.5472883289989,0.2809947244761963
BTCUSDT,2,arima,168,249.78874045153412,341.7456483273388,0.27566332867692245
BTCUSDT,2,ast,168,961.8611029246385,1044.1008743465047,1.062235655443731
BTCUSDT,3,naive,168,230.86176470588288,310.72537856176723,0.24008424766167816
BTCUSDT,3,arima,168,231.95692285521963,311.29026681820585,0.2412139527318681
BTCUSDT,3,ast,168,737.3928501345778,891.9137128977857,0.7647372639983039
BTCUSDT,4,naive,165,205.13939393939236,257.8283549302893,0.22894425864145232
BTCUSDT,4,arima,165,204.9943229474496,257.7069402505,0.22878154811920418
BTCUSDT,4,ast,165,415.26707861082105,488.71615158827984,0.46231940408822175
BTCUSDT,5,naive,167,378.4529411764717,569.4907487757611,0.445295322077853
BTCUSDT,5,arima,167,382.11393485930734,580.8964143229222,0.4491699066992567
BTCUSDT,5,ast,167,2496.062707389408,3156.3116093203803,2.976989263013658
BTCUSDT,6,naive,168,726.1617647058828,921.4869490952877,1.0873101586346436
BTCUSDT,6,arima,168,739.8172466523795,949.6725776978656,1.1073926304328177
BTCUSDT,6,ast,168,5883.533683458143,6263.65041110932,8.85288974565437
BTCUSDT,7,naive,168,323.1176470588231,406.42751035882145,0.48438024380820893
BTCUSDT,7,arima,168,322.9905760175211,404.08911245338567,0.484207836014789
BTCUSDT,7,ast,168,833.6087696809608,1028.3355954300084,1.2589581470255153
BTCUSDT,8,naive,168,165.2911764705898,246.33956179607526,0.24729461983630038
BTCUSDT,8,arima,168,171.1192369672349,242.85477277896797,0.25593138992842507
BTCUSDT,8,ast,168,401.2588260795764,506.38017257819695,0.6000849531587945
BTCUSDT,9,naive,167,223.49705882352924,279.9765552159469,0.3300299687939598
BTCUSDT,9,arima,167,234.19963309648773,284.57792005478575,0.3457720286728423
BTCUSDT,9,ast,167,1973.0288261242604,2015.0236499502344,2.90868552059122
BTCUSDT,10,naive,168,271.685294117648,347.3986678324553,0.3786921290796676
BTCUSDT,10,arima,168,282.2173070352163,357.20785983464407,0.3933572925147073
BTCUSDT,10,ast,168,2270.060753178643,2410.27454199502,3.1528473014579665
